epoch;accuracy;loss;lr;val_accuracy;val_loss
0;0.62;0.7797367899417877;0.001;0.5;7.712474259119185
1;0.7885;0.46189820289611816;0.001;0.607;0.6918885395640418
2;0.831;0.38404030227661135;0.001;0.5;1.3371684456628465
